Group,lambda_wt
Grp936,3.41
Grp347,-2.88
Grp188,0.39
Grp1053,-2.75
Grp56,-0.83
Grp1168,-4.9
Grp221,1.08
Grp277,0.82
Grp619,-7.84
Grp128,-0.9
Grp609,5.51
Grp614,-2.52
Grp983,3.48
Grp760,-2.41
Grp483,2.04
Grp448,1.21
Grp1252,-10.45
Grp131,-0.24
Grp1373,-12.29
Grp489,2.12
Grp230,-3.6
Grp484,2.87
Grp834,-9.76
Grp25,-0.09
Grp386,-3.17
Grp1218,-8.44
Grp1039,-5.09
Grp0,-0.31
Grp353,1.59
Grp968,3.67
Grp1250,-7.56
Grp467,2.63
Grp1334,3.33
Grp802,4.3
Grp372,3.99
Grp898,-2.05
Grp185,0.71
Grp753,2.71
Grp1026,4.49
Grp620,2.3
Grp625,-5.1
Grp845,-3.06
Grp167,-4.89
Grp1112,2.89
Grp766,-3.67
Grp699,4.34
Grp642,-4.36
Grp1240,-8.73
Grp769,-3.72
Grp1050,3.71
Grp1374,-12.04
Grp1387,5.78
Grp284,-0.8
Grp481,2.81
Grp880,-2.94
Grp505,3.15
Grp233,-3.52
Grp940,5.97
Grp271,1.02
Grp23,-0.28
Grp1235,-11.03
Grp1020,-7.25
Grp237,-0.66
Grp862,-4.02
Grp819,-10.25
Grp104,0.16
Grp215,0.24
Grp300,-2.08
Grp637,-2.13
Grp1277,3.86
Grp409,1.74
Grp1289,-6.39
Grp1338,-4.27
Grp775,-3.04
Grp1154,-4.23
Grp559,-10.69
Grp1027,4.67
Grp1013,3.91
Grp503,2.1
Grp114,-1.0
Grp605,3.02
Grp1034,-2.32
Grp1009,-11.61
Grp725,7.69
Grp933,-8.6
Grp1271,-8.76
Grp1079,-4.8
Grp712,5.84
Grp95,-0.43
Grp1378,5.36
Grp672,-12.88
Grp1143,-4.73
Grp106,0.46
Grp466,2.94
Grp296,-1.59
Grp622,-6.22
Grp394,-5.84
Grp709,5.94
Grp281,-1.45
Grp782,-8.33
Grp161,0.66
Grp721,-12.78
Grp844,-8.99
Grp1092,-5.23
Grp400,-3.69
Grp4,-1.12
Grp1210,-12.99
Grp1194,3.22
Grp1321,3.87
Grp58,0.13
Grp786,-3.31
Grp593,-4.33
Grp529,-2.4
Grp1018,-7.24
Grp289,-0.65
Grp938,-8.3
Grp783,3.31
Grp1221,3.82
Grp876,-3.73
Grp1095,3.24
Grp387,1.03
Grp312,1.14
Grp1048,-3.37
Grp414,1.28
Grp877,-2.77
Grp713,-13.03
Grp967,3.66
Grp695,-14.0
Grp16,-0.48
Grp943,-2.34
Grp315,1.52
Grp166,-0.61
Grp1116,-4.71
Grp1059,4.08
Grp1394,-5.46
Grp1211,3.98
Grp5,0.17
Grp736,3.75
Grp1207,-4.42
Grp60,0.67
Grp632,-3.3
Grp334,-3.46
Grp1169,-5.68
Grp1135,4.64
Grp960,-4.09
Grp1265,-7.1
Grp1287,6.64
Grp727,-2.58
Grp752,-9.14
Grp1392,4.15
Grp1031,-2.72
Grp1022,-11.58
Grp1281,-7.64
Grp738,-2.21
Grp897,-6.01
Grp693,-14.25
Grp573,3.78
Grp297,0.96
Grp557,-2.62
Grp243,-1.2
Grp119,0.78
Grp519,4.12
Grp641,-17.48
Grp52,0.38
Grp866,5.21
Grp1348,-11.27
Grp857,-3.4
Grp874,-5.61
Grp245,1.49
Grp1156,-7.4
